analysis_id,047k7ogp99vc860
gene_symbol,Fgb
mouse_life_stage,Early adult
pvalue,0.9538238
parameter_name,Body Weight
gene_accession_id,MGI:99501
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
