analysis_id,3z9509n0647hfv5
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
pvalue,0.7394585
