parameter_name,Eosinophil differential count
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.8223481
mouse_life_stage,Middle aged adult
analysis_id,6wed5cyq697qt5y
mouse_strain,C57BL
parameter_id,IMPC_HEM_035_001
