analysis_id,7482476prj8i96h
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
pvalue,0.9367068
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
gene_symbol,Tnfsf10
parameter_name,Joints
