gene_symbol,Med22
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:98446
parameter_name,Resting NK cells - % of NK cells
analysis_id,5300nu6250oq3x1
mouse_strain,C57BL
pvalue,0.6914088
mouse_life_stage,Early adult
