analysis_id,87rd7z3kax29zc3
gene_accession_id,MGI:1345282
pvalue,0.8739023
parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Slc30a4
