parameter_name,Liver weight
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,k8e61948ar4ucpo
mouse_strain,C57BL
pvalue,0.9399944
parameter_id,UCD_OWT_008_001
