gene_symbol,Hrnr
analysis_id,4wy36b2uf32va50
parameter_name,Fat/Body weight
pvalue,0.4298497
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,IMPC_DXA_009_001
