gene_symbol,Tnni1
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:105073
mouse_strain,C57BL
analysis_id,2a604p488y80vs6
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
pvalue,0.3584488
