analysis_id,es86ywo0d27m3e8
mouse_life_stage,E12.5
parameter_id,ESLIM_011_001_006
gene_symbol,Bmi1
parameter_name,110dB startle magnitude
gene_accession_id,MGI:88174
mouse_strain,C57BL
pvalue,0.8280994
