analysis_id,65gapav74g6mi46
mouse_life_stage,Late adult
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Resting Treg cells - % of Treg
pvalue,0.3976694
gene_symbol,Lpgat1
