parameter_id,ESLIM_011_001_006
pvalue,0.6949965
mouse_life_stage,Early adult
gene_symbol,Cmpk1
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,110dB startle magnitude
analysis_id,x94o33272nv4845
