parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
parameter_name,PQ
mouse_strain,C57BL
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
pvalue,0.3385618
analysis_id,3ad5gh13479a9gn
