analysis_id,kyn3gph05879pcx
gene_symbol,Slc30a4
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:1345282
pvalue,0.2518885
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
