analysis_id,51u2152g5up02v2
mouse_strain,C57BL
parameter_name,Contact righting
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_id,JAXLA_CSD_077_001
gene_symbol,Wars2
pvalue,0.7217528
