analysis_id,468coqf6900k475
pvalue,0.2323319
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_name,Latency to center entry
