gene_symbol,Cpa3
mouse_strain,C57BL
pvalue,0.5773954
parameter_id,IMPC_IMM_055_001
analysis_id,ix12l0f178621c2
gene_accession_id,MGI:88479
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
