gene_symbol,Trim46
analysis_id,g0173568sn7g9re
mouse_strain,C57BL
gene_accession_id,MGI:2673000
pvalue,0.4779217
parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
