parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
pvalue,0.09104397
gene_accession_id,MGI:99605
analysis_id,w4k014h87858wp7
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,C57BL
