analysis_id,14exzz3n36d4772
mouse_life_stage,Early adult
pvalue,0.8410209
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1345282
parameter_name,Cornea
