parameter_id,IMPC_FEA_107_001
analysis_id,d61tm45pv0n169h
mouse_strain,C57BL
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
pvalue,0.2840979
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
