analysis_id,o1i6108ac6g7g6a
gene_symbol,Sema6c
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
pvalue,0.978128
