analysis_id,s05jd0353qt2144
gene_symbol,Cntfr
parameter_name,Anophthalmia
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
pvalue,0.7943088
