parameter_name,Whole arena resting time
analysis_id,9703g899l6zl9fy
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
pvalue,0.4405697
parameter_id,IMPC_OFD_007_001
