gene_symbol,Morn5
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1922745
pvalue,0.4478135
analysis_id,t8zwx3096678pdh
parameter_id,MGP_MLN_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
