analysis_id,fc6bzy5960o34fd
mouse_life_stage,E9.5
parameter_name,Pale yolk sac
gene_accession_id,MGI:97838
parameter_id,IMPC_GEL_017_002
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.7402894
