gene_symbol,Trim46
mouse_life_stage,Early adult
analysis_id,72060ul97092m66
pvalue,0.05713844
gene_accession_id,MGI:2673000
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
mouse_strain,C57BL
