analysis_id,6739r2t6128o05k
pvalue,0.281306
mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_name,Skull shape
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
