analysis_id,v2oq3lb04wb91ue
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.3415318
parameter_id,MGP_IMM_130_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
