parameter_name,White blood cell-count
mouse_life_stage,E15.5
analysis_id,5i9t1p020x99za2
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
pvalue,0.1870687
