gene_symbol,Zyg11b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.9405351
mouse_strain,C57BL
analysis_id,4zfaa4vm63n0393
parameter_id,MGP_IMM_072_001
