analysis_id,sh3j07wwj05den2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6220587
parameter_id,MGP_IMM_089_001
gene_symbol,Psmd14
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1913284
