analysis_id,q9m6262ktnln89y
parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
parameter_name,Periphery resting time
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
pvalue,0.730315
mouse_strain,C57BL
