analysis_id,g8181d9h0w4wnw9
gene_symbol,Inpp1
pvalue,0.68898
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:104848
parameter_name,Sodium
