analysis_id,g334j1s1wiy11i3
gene_accession_id,MGI:88479
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
pvalue,0.5867817
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cpa3
