parameter_name,Thoracic processes
analysis_id,154138475969463
pvalue,0.7751883
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
parameter_id,IMPC_XRY_064_001
gene_symbol,Dmap1
