analysis_id,82904u70384ut10
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
gene_symbol,Cldn19
mouse_strain,C57BL
pvalue,0.8043514
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
