analysis_id,vg05jn6jvx6nn90
gene_accession_id,MGI:1924054
parameter_name,12kHz-evoked ABR Threshold
gene_symbol,Kdm4c
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
pvalue,0.875743
