analysis_id,mbg8vms01553y26
gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_name,HRV
gene_accession_id,MGI:1916220
pvalue,0.288124
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
