gene_symbol,AU040320
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Late adult
analysis_id,622k0i89g6u2953
gene_accession_id,MGI:2140475
parameter_id,MGP_MLN_009_001
pvalue,0.7498269
