analysis_id,26ba3ufz6c85oj3
parameter_name,Respiration Rate
gene_accession_id,MGI:104640
parameter_id,IMPC_ECH_018_001
pvalue,0.6448938
mouse_life_stage,Early adult
gene_symbol,Rab17
mouse_strain,C57BL
