analysis_id,9039u33c9qkt0y1
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
pvalue,0.6269539
parameter_name,Glucose response AUC
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_symbol,Lpgat1
