parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:97838
parameter_name,Skull shape
mouse_strain,C57BL
analysis_id,qy1cts563575ws0
gene_symbol,Eprs1
pvalue,0.3173952
mouse_life_stage,E9.5
