gene_symbol,Usp37
parameter_name,Lean mass
pvalue,0.2075599
analysis_id,7r72ee78d32223v
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
