gene_symbol,Arpc2
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
pvalue,0.5999999
gene_accession_id,MGI:1923959
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,129SV
analysis_id,cxn46nnzk418u31
