parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
pvalue,0.5198475
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3u99w4130e8ft1s
parameter_name,Startle response
