analysis_id,7a0wy6fpd76h7w1
Parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
Mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
mouse_strain,C54BL
pvalue,0.986747
Gene_symbol,Rgs20
