parameter_name,White blood cell-count
gene_accession_id,MGI:88071
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
pvalue,0.198077
analysis_id,ce11ie22h5x450z
mouse_life_stage,Early adult
gene_symbol,Arnt
