analysis_id,s44s735kcf6qsf8
mouse_life_stage,Early adult
pvalue,0
gene_symbol,Duoxa2
parameter_name,Total T cell percentage
gene_accession_id,MGI:1914061
mouse_strain,C57BL
parameter_id,MGP_PBI_001_001
