analysis_id,5vs5w562utz6747
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
gene_symbol,Snrpb2
pvalue,0.7014782
mouse_strain,C57BL
