gene_symbol,Secisbp2l
pvalue,0.2300812
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,30d9ijaivap4qv8
gene_accession_id,MGI:1917604
parameter_id,MGP_MLN_066_001
