gene_symbol,Mgst2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6p2ske7v4815z7r
parameter_id,JAXLA_OFD_017_001
pvalue,0.08126031
gene_accession_id,MGI:2448481
parameter_name,Center average speed
