parameter_name,Glucose
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
analysis_id,qbm9t0ix389buuw
gene_accession_id,MGI:88071
gene_symbol,Arnt
pvalue,0.08814451
