parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
gene_symbol,Snap23
mouse_strain,C57BL
analysis_id,04df43c2ycr4327
pvalue,0.713891
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:109356
