analysis_id,18905xd22a3le93
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
pvalue,0.7717288
mouse_life_stage,Early adult
mouse_strain,129SV
