gene_symbol,Golm2
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:2443129
analysis_id,40if4o93p2ivj2n
pvalue,0.9637479
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
