parameter_name,Body Length
parameter_id,M-G-P_005_001_006
mouse_strain,C57BL
pvalue,0.806625
gene_symbol,Wars2
gene_accession_id,MGI:1917810
analysis_id,3a9z027ilsv08hm
mouse_life_stage,E9.5
