parameter_name,DN CD25- NKT cells
pvalue,0.814113
mouse_strain,129SV
analysis_id,9z9s9742ysbv0wg
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_id,IMPC_IMM_025_001
