gene_symbol,Rab17
parameter_name,Placenta Size
analysis_id,tmo57r63b65q4r1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
parameter_id,IMPC_GPP_004_001
pvalue,0.7311457
