analysis_id,05y719x7inls360
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
pvalue,0.1375579
parameter_name,Lumbar processes
gene_symbol,Kdm4c
