parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
pvalue,0.07990872
gene_symbol,Bmi1
analysis_id,ez5114125goq43f
parameter_name,Neural tube morphology
mouse_strain,C57BL
