parameter_name,Total cholesterol
gene_accession_id,MGI:95835
analysis_id,hg60637qo1b6ah9
pvalue,0.9881765
parameter_id,JAXLA_CBC_015_001
gene_symbol,Hspa5
mouse_life_stage,E9.5
mouse_strain,C57BL
