parameter_id,IMPC_HEM_006_001
pvalue,0.9910798
analysis_id,0fyruifhnqo41wt
mouse_strain,C57BL
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
