analysis_id,l7082ghj10fpq8i
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
pvalue,0.5137953
